Facility Name,Reported Incidents,Disposition Unfounded,Disposition Unsubstantiated,Disposition Substantiated,Open Case ,Inmate on Inmate,Staff on Inmate,Average Daily Population,Unnamed: 9,Unnamed: 10
Baltimore Central Booking and Intake Center,2,1,0,0,1,2,0,875,,
Baltimore City Correctional Center,2,1,1,0,0,0,2,493,,
Baltimore City Detention Center,11,3,7,0,1,8,3,2526,,
Baltimore Pre-Release Unit,0,0,0,0,0,0,0,186,,
Brockbridge Correctional Facility,3,0,2,0,1,3,0,447,,
Central Maryland Correctional Facility,1,0,1,0,0,0,1,454,,
Chesapeake Detention Facility,1,0,1,0,0,1,0,429,,
Dorsey Run Correctional Facility,0,0,0,0,0,0,0,464,,
Eastern Correctional Institution,19,8,11,0,0,7,12,2663,,
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,593,,
Eastern Pre-Release Unit,0,0,0,0,0,0,0,172,,
Jessup Correctional Institution,4,0,3,0,1,1,3,1745,,
Maryland Correctional Institution -Hagerstown,10,5,5,0,0,7,3,1853,,
Maryland Correctional Institution -Jessup,3,1,2,0,0,1,2,1032,,
Maryland Correctional Institution for Women,6,4,2,0,0,1,5,802,,
Maryland Correctional Training Center,7,4,3,0,0,3,4,2479,,
"Maryland Reception, Diagnostic and Classification Center",3,0,1,1,1,2,1,710,,
Metropolitan Transition Center,3,0,1,0,2,3,0,581,,
North Branch Correctional Institution,15,3,11,0,1,8,7,1386,,
Patuxent Institution,16,6,10,0,0,12,4,899,,
Poplar Hill Pre-Release Unit,0,0,0,0,0,0,0,163,,
Roxbury Correctional Institution,8,1,7,0,0,5,3,1686,,
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,169,,
Threshold,0,0,0,0,0,0,0,30,,0.0
Western Correctional Institution,20,5,15,0,0,12,8,1602,,
