Facility Name,Reported Incidents,Disposition Unfounded,Disposition Unsubstantiated,Disposition Substantiated,Open Case ,Inmate on Inmate,Staff on Inmate,Average Daily Population
Baltimore Central Booking and Intake Center,7,1,4,0,2,5,2,888.0
Baltimore City Correctional Center,4,3,1,0,0,0,4,430.0
Brockbridge Correctional Facility,8,6,1,0,1,1,7,497.0
Central Maryland Correctional Facility,7,2,4,0,1,3,4,491.0
Chesapeake Detention Facility,3,2,1,0,0,1,2,426.0
Dorsey Run Correctional Facility,13,11,1,0,1,3,10,814.0
Eastern Correctional Institution,31,25,3,3,0,14,17,2657.0
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,586.0
Eastern Pre-Release Unit,1,1,0,0,0,0,1,167.0
Jessup Correctional Institution,22,19,2,0,1,7,15,1839.0
Maryland Correctional Institution - Hagerstown,8,4,2,0,2,2,6,628.0
Maryland Correctional Institution - Jessup,3,1,2,0,0,3,0,671.0
Maryland Correctional Institution for Women,5,4,1,0,0,3,2,759.0
Maryland Correctional Training Center,20,9,9,0,2,9,11,2830.0
Maryland Correctional Transportation Unit,1,1,0,0,0,0,1,
"Maryland Reception, Diagnostic and Classification Center",4,3,1,0,0,3,1,552.0
Metropolitan Transition Center,3,2,1,0,0,3,0,703.0
North Branch Correctional Institution,17,3,8,0,6,3,14,1214.0
Patuxent Institution,14,10,3,1,0,1,13,1059.0
Roxbury Correctional Institution,6,3,2,0,1,1,5,1740.0
Southern Maryland Pre-Release Unit,1,0,1,0,0,0,1,152.0
Threshold,0,0,0,0,0,0,0,30.0
Western Correctional Institution,21,11,7,0,3,10,11,1624.0
Youth Detention Center,0,0,0,0,0,0,0,33.0
