Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population"
Baltimore Central Booking and Intake Center,10,3,6,0,1,8,2,765
Baltimore City Correctional Center,1,1,0,0,0,0,1,340
Brockbridge Correctional Facility,0,0,0,0,0,0,0,0
Baltimore Pretrial Facility - Jessup,5,4,0,0,1,2,3,368
Chesapeake Detention Facility,1,0,1,0,0,1,0,365
Central Maryland Correctional Facility,3,2,1,0,0,1,2,380
Dorsey Run Correctional Facility,0,0,0,0,0,0,0,778
Eastern Correctional Institution,17,5,10,2,0,8,9,2572
Eastern Correctional Institution Annex,1,0,1,0,0,1,0,484
Eastern Pre-Release Unit,0,0,0,0,0,0,0,161
Jessup Correctional Institution,8,4,4,0,0,2,6,1613
Maryland Correctional Institution - Hagerstown,2,1,1,0,0,0,2,724
Maryland Correctional Institution - Jessup,5,2,2,1,0,2,3,729
Maryland Correctional Institution for Women,8,2,6,0,0,4,4,596
Maryland Correctional Training Center,21,3,16,0,2,15,6,2536
Maryland Correctional Transportation Unit,0,0,0,0,0,0,0,0
"Maryland Reception, Diagnostic and Classification Center",4,3,1,0,0,2,2,422
Metropolitan Transition Center,1,1,0,0,0,0,1,720
North Branch Correctional Institution,21,11,6,2,2,10,11,1228
Patuxent Institution,7,6,1,0,0,3,4,772
Roxbury Correctional Institution,14,2,10,0,2,12,2,1673
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,113
Threshold,0,0,0,0,0,0,0,0
Western Correctional Institution,13,3,10,0,0,9,4,1557
Youth Detention Center,2,1,1,0,0,1,1,47
