PREA INCIDENT REPORTS - 2018,,,,,,,,,
Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population","Reports
per 100
Inmates"
Baltimore Central Booking and Intake Center,7,1,4,0,2,5,2,888,0.79
Baltimore City Correctional Center,4,3,1,0,0,0,4,430,0.93
Brockbridge Correctional Facility,8,6,1,0,1,1,7,497,1.61
Central Maryland Correctional Facility,7,2,4,0,1,3,4,491,1.43
Chesapeake Detention Facility,3,2,1,0,0,1,2,426,0.70
Dorsey Run Correctional Facility,13,11,1,0,1,3,10,814,1.60
Eastern Correctional Institution,31,25,3,3,0,14,17,2657,1.17
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,586,0.00
Eastern Pre-Release Unit,1,1,0,0,0,0,1,167,0.60
Jessup Correctional Institution,22,19,2,0,1,7,15,1839,1.20
Maryland Correctional Institution - Hagerstown,8,4,2,0,2,2,6,628,1.27
Maryland Correctional Institution - Jessup,3,1,2,0,0,3,0,671,0.45
Maryland Correctional Institution for Women,5,4,1,0,0,3,2,759,0.66
Maryland Correctional Training Center,20,9,9,0,2,9,11,2830,0.71
Maryland Correctional Transportation Unit,1,1,0,0,0,0,1,na,na
"Maryland Reception, Diagnostic and Classification Center",4,3,1,0,0,3,1,552,0.72
Metropolitan Transition Center,3,2,1,0,0,3,0,703,0.43
North Branch Correctional Institution,17,3,8,0,6,3,14,1214,1.40
Patuxent Institution,14,10,3,1,0,1,13,1059,1.32
Roxbury Correctional Institution,6,3,2,0,1,1,5,1740,0.34
Southern Maryland Pre-Release Unit,1,0,1,0,0,0,1,152,0.66
Threshold,0,0,0,0,0,0,0,30,0.00
Western Correctional Institution,21,11,7,0,3,10,11,1624,1.29
Youth Detention Center,0,0,0,0,0,0,0,33,0.00
TOTAL,199,120,55,4,20,72,127,20790,0.96
,,,,,,,,,
PREA Incident Reports - 2019,,,,,,,,,
Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population","Reports
per 100
Inmates"
Baltimore Central Booking and Intake Center,7,6,1,0,0,4,3,798,0.88
Baltimore City Correctional Center,3,1,2,0,0,2,1,446,0.67
Brockbridge Correctional Facility,1,1,0,0,0,0,1,243,0.41
Baltimore Pretrial Facility - Jessup,2,2,0,0,0,0,2,344,0.58
Chesapeake Detention Facility,2,1,0,0,1,2,0,358,0.56
Central Maryland Correctional Facility,3,1,2,0,0,0,3,482,0.62
Dorsey Run Correctional Facility,7,2,5,0,0,2,5,915,0.77
Eastern Correctional Institution,34,16,17,0,1,15,19,2678,1.27
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,576,0.00
Eastern Pre-Release Unit,1,1,0,0,0,0,1,240,0.42
Jessup Correctional Institution,7,6,1,0,0,3,4,1820,0.38
Maryland Correctional Institution - Hagerstown,6,4,0,2,0,2,4,630,0.95
Maryland Correctional Institution - Jessup,4,2,2,0,0,3,1,757,0.53
Maryland Correctional Institution for Women,14,8,5,1,0,4,10,698,2.01
Maryland Correctional Training Center,20,5,15,0,0,10,10,2883,0.69
"Maryland Reception, Diagnostic and Classification Center",2,1,1,0,0,1,1,445,0.45
Metropolitan Transition Center,3,1,2,0,0,2,1,730,0.41
North Branch Correctional Institution,15,8,7,0,0,5,10,1268,1.18
Patuxent Institution,11,7,4,0,0,7,4,907,1.21
Roxbury Correctional Institution,19,9,10,0,0,8,11,1762,1.08
Southern Maryland Pre-Release Unit,1,1,0,0,0,0,1,144,0.69
Threshold,0,0,0,0,0,0,0,29,0.00
Western Correctional Institution,15,6,7,1,1,8,7,1528,0.98
Youth Detention Center,0,0,0,0,0,0,0,45,0.00
TOTAL,177,89,81,4,3,78,99,20726,0.85
