PREA INCIDENT REPORTS -2015
Average,Reports
Reported Disposition Disposition Disposition Open Inmate on Staff on Daily per,100
Baltimore Central Booking and Intake Center,7,2,1,0,4,7,0,794,"0,68"
Baltimore City Correctional Center,2,1,1,0,0,2,0,496,0.40
Baltimore City Detention Center,9,4,2,0,3,9,0,2299,0.39
Brockbridge Correctional Facility,2,1,1,0,0,1,1,420,0.48
Central Maryland Correctional Facility,2,2,0,0,0,0,2,446,0.45
Chesapeake Detention Facility,0,0,0,0,0,0,0,389,0.00
Dorsey Run Correctional Facility,3,1,0,0,2,2,1,538,0.56
Eastern Correctional Institution,44,20,21,1,2,13,31,2675,1.64
Eastern Correctional Institution Annex,2,1,1,0,0,0,2,595,0.34
Eastern Pre-Release Unit,1,0,1,0,0,1,0,170,0.59
Jessup Correctional Institution,20,6,6,0,8,6,14,1767,1.13
Maryland Correctional Institution -Hagerstown,19,6,12,0,1,11,8,1661,1.14
Maryland Correctional Institution -Jessup,9,2,1,0,6,4,5,1044,0.86
Maryland Correctional Institution for Women,12,2,3,1,6,3,9,812,1.48
Maryland Correctional Training Center,15,6,9,0,0,5,10,2470,0.61
Maryland Correctional Transportation Unit,2,2,0,0,0,0,2,na,na
"Maryland Reception, Diagnostic and Classification Center",12,4,5,0,3,7,5,710,"1,69"
Metropolitan Transition Center,1,1,0,0,0,0,1,581,0.17
North Branch Correctional Institution,22,10,11,0,1,11,11,1339,1.64
Patuxent Institution,15,3,8,0,4,7,8,874,1.72
Poplar Hill Pre-Release Unit,0,0,0,0,0,0,0,130,0.00
Roxbury Correctional Institution,13,4,6,1,2,9,4,1720,0.76
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,165,0.00
Threshold,0,0,0,0,0,0,0,30,0.00
Western Correctional Institution,19,12,6,0,1,9,10,1593,1.19
TOTALS,231,90,95,3,43,107,124,23718,0.97
