CY 2021 PREA Allegation Breakdowns,detropeR stnedicnI,noitisopsiD dednuofnU,"detaitnatsbusnU
noitisopsiD","detaitnatsbuS
noitisopsiD","sesaC
nepO","no
etamnI etamnI","etamnI
no
ffatS","yliaD
noitalupoP
egarevA","001
rep
stropeR setamnI"
Baltimore Central Booking and Intake Center,12,5,5,0,2,8,4,961,1.25
Baltimore City Correctional Center,2,1,1,0,0,2,0,330,0.61
Chesapeake Detention Facility,1,0,1,0,0,0,1,380,0.26
Central Maryland Correctional Facility,1,1,0,0,0,0,1,230,0.43
Dorsey Run Correctional Facility,3,2,0,0,1,1,2,717,0.42
Eastern Correctional Institution,12,6,6,0,0,3,9,2224,0.54
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,496,0.00
Jessup Correctional Institution,17,10,6,0,1,5,12,1652,1.03
Maryland Correctional Institution - Hagerstown,9,3,3,3,0,5,4,964,0.93
Maryland Correctional Institution - Jessup,6,1,4,0,1,2,4,686,0.87
Maryland Correctional Institution for Women,10,2,6,2,0,4,6,479,2.09
Maryland Correctional Training Center,15,4,9,0,2,9,6,1991,0.75
"Maryland Reception, Diagnostic and Classification Center",5,4,1,0,0,4,1,594,0.84
Metropolitan Transition Center,2,1,1,0,0,2,0,619,0.32
North Branch Correctional Institution,12,6,6,0,0,2,10,1070,1.12
Patuxent Institution,6,4,2,0,0,1,5,617,0.97
Roxbury Correctional Institution,9,3,6,0,0,6,3,1475,0.61
Western Correctional Institution,11,7,4,0,0,7,4,1534,0.72
Youth Detention Center,2,1,1,0,0,2,0,55,3.64
TOTAL,135,61,62,5,7,63,72,17074,0.79
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CY 2020 PREA Allegation Breakdowns,detropeR stnedicnI,noitisopsiD dednuofnU,"detaitnatsbusnU
noitisopsiD","detaitnatsbuS
noitisopsiD","sesaC
nepO","no
etamnI etamnI","etamnI
no
ffatS","yliaD
noitalupoP
egarevA","001
rep
stropeR setamnI"
Baltimore Central Booking and Intake Center,10,3,6,0,1,8,2,765,1.31
Baltimore City Correctional Center,1,1,0,0,0,0,1,340,0.29
Brockbridge Correctional Facility,0,0,0,0,0,0,0,0,na
Baltimore Pretrial Facility - Jessup,5,4,0,0,1,2,3,368,1.36
Chesapeake Detention Facility,1,0,1,0,0,1,0,365,0.27
Central Maryland Correctional Facility,3,2,1,0,0,1,2,380,0.79
Dorsey Run Correctional Facility,0,0,0,0,0,0,0,778,0.00
Eastern Correctional Institution,17,5,10,2,0,8,9,2572,0.66
Eastern Correctional Institution Annex,1,0,1,0,0,1,0,484,0.21
Eastern Pre-Release Unit,0,0,0,0,0,0,0,161,0.00
Jessup Correctional Institution,8,4,4,0,0,2,6,1613,0.50
Maryland Correctional Institution - Hagerstown,2,1,1,0,0,0,2,724,0.28
Maryland Correctional Institution - Jessup,5,2,2,1,0,2,3,729,0.69
Maryland Correctional Institution for Women,8,2,6,0,0,4,4,596,1.34
Maryland Correctional Training Center,21,3,16,0,2,15,6,2536,0.83
Maryland Correctional Transportation Unit,0,0,0,0,0,0,0,0,na
"Maryland Reception, Diagnostic and Classification Center",4,3,1,0,0,2,2,422,0.95
Metropolitan Transition Center,1,1,0,0,0,0,1,720,0.14
North Branch Correctional Institution,21,11,6,2,2,10,11,1228,1.71
Patuxent Institution,7,6,1,0,0,3,4,772,0.91
Roxbury Correctional Institution,14,2,10,0,2,12,2,1673,0.84
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,113,0.00
Threshold,0,0,0,0,0,0,0,0,na
Western Correctional Institution,13,3,10,0,0,9,4,1557,0.83
Youth Detention Center,2,1,1,0,0,1,1,47,4.26
TOTAL,144,54,77,5,8,81,63,18943,0.76
